"Account number","Kontonummer"
"Bank code","Bankleitzahl"
"Holder","Kontoinhaber"
"Amount","Betrag"
"Transaction Id: %s","Transaktions-ID: %s"
"Order No.: ","Best. "
"Payment was successful.","Bestellung mit sofortüberweisung erfolgreich übermittelt. Ihre Transaktions-ID: %s"
"Payment successfull. Invoice needs to be confirmed.", "Bestellung mit Kauf auf Rechnung erfolgreich übermittelt. Bestätigung durch Händler noch nicht erfolgt. Ihre Transaktions-ID: %s"
"Payment was not successfull","Fehler bei der Bestellung aufgetreten."
"Sofortueberweisung payment loaded.","sofortüberweisung als Zahlungsart gewählt. Transaktion nicht abgeschlossen."
"Vorkasse by sofort payment loaded.","Vorkasse als Zahlungsart gewählt. Transaktion nicht abgeschlossen."
"sofortlastschrift payment loaded.","sofortlastschrift als Zahlungsart gewählt. Transaktion nicht abgeschlossen."
"Lastschrift by sofort payment loaded.","Lastschrift als Zahlungsart gewählt. Transaktion nicht abgeschlossen."
"Rechnung by sofort payment loaded.","Kauf auf Rechnung als Zahlungsart gewählt. Transaktion nicht abgeschlossen."
"Please fill out the account holder","Bitte füllen Sie die Felder Kontonummer, Bankleitzahl und Kontoinhaber vollständig aus."
"Please fill out the account number","Bitte füllen Sie die Felder Kontonummer, Bankleitzahl und Kontoinhaber vollständig aus."
"Please fill out the bank code","Bitte füllen Sie die Felder Kontonummer, Bankleitzahl und Kontoinhaber vollständig aus."
"Cancelation of payment","Die gewählte Zahlart ist leider nicht möglich oder wurde auf Kundenwunsch abgebrochen. Bitte wählen Sie eine andere Zahlweise."
"Project password","Projekt-Passwort"
"Notification password", "Benachrichtigungs-Passwort"
"Create Invoice","Generiere Rechnung nach Zahlung"
"Projekt Id","Projekt-Nummer"
"User Id","Kundennummer"
"Sofortueberweisung","sofortüberweisung"
"customer protection","sofortüberweisung mit Käuferschutz"
"Direct payment method of Payment Network AG.","<b>sofortüberweisung</b><br />Sobald der Kunde diese Zahlungsart ausgewählt hat und auf Bestellen klickt, wird eine temporäre Bestellung angelegt und der temporäre Bestellstatus gesetzt. Ist die Zahlung erfolgreich, wird die Bestellung fest in die Datenbank eingetragen und der bestätigte Bestellstatus gesetzt. Bei Abbruch wird die Bestellung rückgängig gemacht und die Bestellnummer verworfen, so dass bei der nächsten Bestellung die Bestellnummer um eins erhöht wird. Sollte der Kunde das Bezahlfenster schließen, so bleibt die temporäre Bestellung erhalten, wobei die Bezahlung dann nicht erfolgt ist."
"Rechnung by sofort","Rechnung by sofort"
"Rechnung","Kauf auf Rechnung"
