"Account number","Bankrekeningnummer"
"Bank code","Bankleitzahl"
"Holder","Bankrekeninghouder"
"Amount","Bedrag"
"Transaction Id: %s","Transactie-ID: %s"
"Order No.: ","Best. "
"Payment was successful.","Bestelling met sofortüberweisung is succesvol doorgegeven. Uw transaktie-ID: transactie"
"Payment successfull. Invoice needs to be confirmed.", "Bestelling met Kauf auf Rechnung is succesvol doorgegeven. De web-winkelier heeft deze nog niet bevestigd. Uw transaktie-ID: %s"
"Payment was not successfull","Er is een fout bij de bestelling opgetreden."
"Sofortueberweisung payment loaded.","sofortüberweisung als betaalmethode gekozen. Transactie is niet afgesloten."
"Vorkasse by sofort payment loaded.","Vorkasse als betaalmethode gekozen. De transactie is niet afgesloten."
"sofortlastschrift payment loaded.","De betaalmethode sofortlastschrift werd uitgekozen. De transactie is niet afgesloten."
"Lastschrift by sofort payment loaded.","De betaalmethode automatische incasso werd uitgekozen. De transactie is niet afgesloten."
"Rechnung by sofort payment loaded.","De betaalmethode Kauf auf Rechnung werd uitgekozen. De transactie is niet afgesloten."
"Please fill out the account holder","Vult u de volgende velden volledig in: bankrekeningnummer en rekeninghouder."
"Please fill out the account number","Vult u de volgende velden volledig in: bankrekeningnummer en rekeninghouder."
"Please fill out the bank code","Vult u de volgende velden volledig in: bankrekeningnummer en rekeninghouder."
"Cancelation of payment","Betaling via de gekozen betaalmethode is helaas niet mogelijk of werd door de klant afgebroken. Kies een andere betaalwijze."
"Project password","Project-wachtwoord"
"Notification password", "Berichten-wachtwoord"
"Create Invoice","Genereer rekening na betaling"
"Projekt Id","Projectnummer"
"User Id","Klantnummer"
"Sofortueberweisung","sofortüberweisung"
"customer protection","sofortüberweisung met kopersgarantie"
"Direct payment method of Payment Network AG.","sofortüberweisung is de gratis, TÜV-goedgekeurde, betaalservice van Payment Network AG."
"Rechnung by sofort","Rechnung by sofort"
"Rechnung","Kauf auf Rechnung"
"Invoice with payment guarantee.","Koop op rekening met de garantie dat het geld uitbetaald wordt."
"sofortlastschrift","sofortlastschrift"
"Secure direct debit system.","Veilige betaling met automatische incasso in het systeem van de Payment Network AG."
"Vorkasse by sofort","Vorkasse by sofort"
"Vorkasse","Vooruitbetaling"
"Automated money order system.","Vooruitbetaling met waarbij automatisch gecontroleerd wordt of het geld ontvangen is."
"Lastschrift by sofort","Lastschrift by sofort"
"Lastschrift","Automatische incasso"
"Lastschriftverfahren","Geautomatiseerd incassosysteem van Payment Network AG."
"sofortueberweisung and other sofort-products","Betaalmodules van de Payment Network AG"
"More","meer informatie"
"Error while saving this configuration: ","Fout bij het opslaan.: "
"Item was successfully saved","succesvol opgeslagen"
"Your benefit:","Uw voordelen:"
"Certified payment method","<ul><li>Betaalsysteem met TÜV-goedgekeurde privacy regels</li><li>Geen registratie nodig.</li><li>Het bestelde wordt, indien voorradig, DIRECT verstuurd</li><li>Houdt u de inlog gegevens van uw internet bankrekening (PIN/TAN) bij de hand</li></ul>"
"Certified payment method, direct debit","<ul><li>Betaalsysteem met TÜV-goedgekeurde privacy regels</li><li>Geen registratie nodig.</li><li>Het bestelde wordt, indien voorradig, DIRECT verstuurd</li><li>Houdt u de inlog gegevens van uw internet bankrekening (PIN/TAN) bij de hand</li></ul>"
"Help","Help"
"Learn More","meer informatie"
"Sort order","Volgorde"
"New order status","Bevestigde bestelstatus"
"Enabled","activeren"
"Title","Bezeichnung"
"Payment from applicable countries","Landen beperken"
"Payment from Specific countries","Landen beperken"
"Money received.","Ontvangst van de betaling." 
"Customer returned payment","Bij deze transactie werd een terugboeking voorgenomen.  "
"Please pay to the following account","Gebruikt u s.v.p. de volgende gegevens voor de overschrijving"
"Reason","Betalingskenmerk"
"Reason 2","Betalingskenmerk 2"
"Please confirm our privacy policy.","De privacy regels moeten geaccepteerd worden."
"The invoice has been canceled.","De rekening werd geannuleerd en een creditnota is opgemaakt."
"Configuration key","Configuratiesleutel"
"Successfully confirmed invoice: %s","%s"
"Successfully canceled invoice: %s","De rekening is geannuleerd. %s"
"Successfully canceled invoice. Credit memo created: %s","De rekening werd geannuleerd en een creditnota is opgemaakt. %s"
"Banner or text","Banner of tekst bij de keuze van de betaalopties"
"All products deactivated due to errors, initiation aborted.", ""
"Must not be empty.", "De gegevens zijn onvolledig of foutief. Corrigeert u deze of neemt u contact op met de web-winkelier."
"Not in list of valid values.", "Niet in het bereik van geldige waarden."
"Must be a positive number.", "Waarde moet positief zijn."
"Unsupported currency.", "Het is momenteel alleen mogelijk met euro's te betalen. Corrigeert u dit en probeert u het opnieuw."
"Amount is out of range.", "Het totale bedrag is te groot of te klein. Corrigeert u deze of neemt u contact op met de web winkelier."
"Invalid characters.", "Onbekende tekens."
"Maximum length of 27 characters exceeded.", "Het maximale aantal tekens is overschreden (max. 27)."
"Invalid email address.", "De bestelling kan niet uitgevoerd worden vanwege een foutief e-mail adres. Corrigeert u deze en probeert u het opnieuw."
"Invalid phone number.", "Vanwege een foutief telefoonnummer kan de bestelling niet uitgevoerd worden. Corrigeert u deze en probeert u het opnieuw."
"Invalid country code.", "Betaling in het door u aangegeven land wordt is niet mogelijk. Neemt  u contact op met de web-winkelier."
"Unsupported country code.", "De aangegeven BIC is ongeldig."
"Invalid BIC.", "Vanwege een ongeldig BIC (Bank Identifier Code) kan de bestelling niet uitgevoerd worden. Corrigeert u deze en probeert u het opnieuw."
"Only German addresses (DE) are supported.", "Vanwege een ongeldig verzendland kan de bestelling niet uitgevoerd worden. Het factuur- en verzendadres moeten in Duitsland liggen. Corrigeert u deze en probeert u het opnieuw."
"Product only supports German sender accounts.", "Betaling is alleen mogelijk met een Duitse bankrekening. Corrigeer deze indien mogelijk of kiest u voor een andere betaalmethode."
"Invoice amount exceeds amount limit in factoring contract.", "Het totale bedrag is te hoog. Corrigeert u deze en probeert u het opnieuw."
"Invoice amount is lower than minimum amount defined in project settings.", "Het totale bedrag is te laag. Corrigeert u deze en probeert u het opnieuw."
"Invalid tax, allowed values are: 7, 19.", "Foutieve waarde voor de BTW. Geldige waarde: 7,19."
"Validation of given bank account and bank code failed.", "De validering van het bankrekeningnummer is mislukt."
"Maximum length of 255 characters exceeded.", "Het maximale aantal van 255 tekens is overschreden."
"Invalid items found.", "De aanvraag bevat ongeldige winkelwagen posities. Corrigeert u deze of neemt u contact op met de web-winkelier."
"Payment not possible with this service.", "Geeft u tenminste een rekeninghouder aan en probeert u het opnieuw."
"Transaction with same data already created.", "Een transactie met deze gegevens bestaat al."
"This service is currently only accessible by non-commercial customers.", "Kauf auf Rechnung staat momenteel alleen particuliere klanten ter beschikking.."
"Version Number","Versionsnummer"
"https://images.sofort.com/de/su/landing.php","https://images.sofort.com/nl/su/landing.php"
"https://images.sofort.com/de/su/banner_150x200.png","https://images.sofort.com/nl/su/banner_150x200.png"
"https://images.sofort.com/de/sl/logo_155x50.png","https://images.sofort.com/nl/sl/logo_155x50.png"
"https://images.sofort.com/de/sl/banner_300x100.png","https://images.sofort.com/nl/sl/banner_300x100.png"
"https://images.sofort.com/de/su/logo_155x50.png","https://images.sofort.com/nl/su/logo_155x50.png"
"https://images.sofort.com/de/su/banner_400x100_ks.png","https://images.sofort.com/nl/su/banner_400x100_ks.png"
"https://images.sofort.com/de/su/banner_300x100.png","https://images.sofort.com/nl/su/banner_300x100.png"
