"Account number","Kontonummer"
"Bank code","Bankleitzahl"
"Holder","Kontoinhaber"
"Amount","Betrag"
"Transaction Id: %s","Transaktions-ID: %s"
"Order No.: ","Best. "
"Payment was successful.","Bestellung mit sofortüberweisung erfolgreich übermittelt. Ihre Transaktions-ID: %s"
"Payment successfull. Invoice needs to be confirmed.", "Bestellung mit Kauf auf Rechnung erfolgreich übermittelt. Bestätigung durch Händler noch nicht erfolgt. Ihre Transaktions-ID: %s"
"Payment was not successfull","Fehler bei der Bestellung aufgetreten."
"Sofortueberweisung payment loaded.","sofortüberweisung als Zahlungsart gewählt. Transaktion nicht abgeschlossen."
"Vorkasse by sofort payment loaded.","Vorkasse by sofort als Zahlungsart gewählt. Transaktion nicht abgeschlossen."
"sofortlastschrift payment loaded.","sofortlastschrift als Zahlungsart gewählt. Transaktion nicht abgeschlossen."
"Lastschrift by sofort payment loaded.","Lastschrift by sofort als Zahlungsart gewählt. Transaktion nicht abgeschlossen."
"Rechnung by sofort payment loaded.","Kauf auf Rechnung als Zahlungsart gewählt. Transaktion nicht abgeschlossen."
"Please fill out the account holder","Bitte füllen Sie die Felder Kontonummer, Bankleitzahl und Kontoinhaber vollständig aus."
"Please fill out the account number","Bitte füllen Sie die Felder Kontonummer, Bankleitzahl und Kontoinhaber vollständig aus."
"Please fill out the bank code","Bitte füllen Sie die Felder Kontonummer, Bankleitzahl und Kontoinhaber vollständig aus."
"Cancelation of payment","Die gewählte Zahlart ist leider nicht möglich oder wurde auf Kundenwunsch abgebrochen. Bitte wählen Sie eine andere Zahlweise."
"Project password","Projekt-Passwort"
"Notification password", "Benachrichtigungs-Passwort"
"Create Invoice","Generiere Rechnung nach Zahlung"
"Projekt Id","Projekt-Nummer"
"User Id","Kundennummer"
"Sofortueberweisung","sofortüberweisung"
"customer protection","sofortüberweisung mit Käuferschutz"
"Direct payment method of Payment Network AG.","sofortüberweisung ist der kostenlose, TÜV-zertifizierte Zahlungsdienst der Payment Network AG."
"Rechnung by sofort","Rechnung by sofort"
"Rechnung","Kauf auf Rechnung"
"Invoice with payment guarantee.","Kauf auf Rechnung mit Zahlungsgarantie."
"sofortlastschrift","sofortlastschrift"
"Secure direct debit system.","Das sichere Lastschriftverfahren der Payment Network AG."
"Vorkasse by sofort","Vorkasse by sofort"
"Vorkasse","Vorkasse"
"Automated money order system.","Vorkasse mit automatisiertem Zahlungsabgleich."
"Lastschrift by sofort","Lastschrift by sofort"
"Lastschrift","Bankeinzug (Lastschrift)"
"Lastschriftverfahren","Automatisiertes Lastschriftverfahren der Payment Network AG."
